"object1","subject1","subject2"
"\"Accessory cephalic vein\"@en","http://dbpedia.org/resource/Accessory_cephalic_vein","http://www.wikidata.org/entity/Q3320895"
"\"Accessory hemiazygos vein\"@en","http://dbpedia.org/resource/Accessory_hemiazygos_vein","http://www.wikidata.org/entity/Q4672537"
"\"Angular vein\"@en","http://dbpedia.org/resource/Angular_vein","http://www.wikidata.org/entity/Q1631914"
"\"Anterior accessory saphenous vein\"@en","http://dbpedia.org/resource/Anterior_accessory_saphenous_vein","http://www.wikidata.org/entity/Q4771318"
"\"Anterior auricular veins\"@en","http://dbpedia.org/resource/Anterior_auricular_veins","http://www.wikidata.org/entity/Q3241351"
"\"Anterior cardiac veins\"@en","http://dbpedia.org/resource/Anterior_cardiac_veins","http://www.wikidata.org/entity/Q590556"
"\"Anterior jugular vein\"@en","http://dbpedia.org/resource/Anterior_jugular_vein","http://www.wikidata.org/entity/Q3269830"
"\"Anterior spinal veins\"@en","http://dbpedia.org/resource/Anterior_spinal_veins","http://www.wikidata.org/entity/Q4771394"
"\"Anterior tibial vein\"@en","http://dbpedia.org/resource/Anterior_tibial_vein","http://www.wikidata.org/entity/Q3448908"
"\"Appendicular vein\"@en","http://dbpedia.org/resource/Appendicular_vein","http://www.wikidata.org/entity/Q3774950"
"\"Ascending lumbar vein\"@en","http://dbpedia.org/resource/Ascending_lumbar_vein","http://www.wikidata.org/entity/Q4803822"
"\"Axillary vein\"@en","http://dbpedia.org/resource/Axillary_vein","http://www.wikidata.org/entity/Q682122"
"\"Azygos vein\"@en","http://dbpedia.org/resource/Azygos_vein","http://www.wikidata.org/entity/Q591137"
"\"Basal vein\"@en","http://dbpedia.org/resource/Basal_vein","http://www.wikidata.org/entity/Q4866185"
"\"Basilic vein\"@en","http://dbpedia.org/resource/Basilic_vein","http://www.wikidata.org/entity/Q1601362"
"\"Basivertebral veins\"@en","http://dbpedia.org/resource/Basivertebral_veins","http://www.wikidata.org/entity/Q9092880"
"\"Brachial veins\"@en","http://dbpedia.org/resource/Brachial_veins","http://www.wikidata.org/entity/Q939933"
"\"Brachiocephalic vein\"@en","http://dbpedia.org/resource/Brachiocephalic_vein","http://www.wikidata.org/entity/Q2341350"
"\"Bronchial veins\"@en","http://dbpedia.org/resource/Bronchial_veins","http://www.wikidata.org/entity/Q4973820"
"\"Central retinal vein\"@en","http://dbpedia.org/resource/Central_retinal_vein","http://www.wikidata.org/entity/Q5062148"
"\"Central veins of liver\"@en","http://dbpedia.org/resource/Central_veins_of_liver","http://www.wikidata.org/entity/Q4115357"
"\"Cephalic vein\"@en","http://dbpedia.org/resource/Cephalic_vein","http://www.wikidata.org/entity/Q1670335"
"\"Cerebellar veins\"@en","http://dbpedia.org/resource/Cerebellar_veins","http://www.wikidata.org/entity/Q5064079"
"\"Cerebral veins\"@en","http://dbpedia.org/resource/Cerebral_veins","http://www.wikidata.org/entity/Q5064104"
"\"Common digital veins\"@en","http://dbpedia.org/resource/Common_digital_veins","http://www.wikidata.org/entity/Q5153530"
"\"Common facial vein\"@en","http://dbpedia.org/resource/Common_facial_vein","http://www.wikidata.org/entity/Q5153541"
"\"Common iliac vein\"@en","http://dbpedia.org/resource/Common_iliac_vein","http://www.wikidata.org/entity/Q3143036"
"\"Condylar emissary vein\"@en","http://dbpedia.org/resource/Condylar_emissary_vein","http://www.wikidata.org/entity/Q5159426"
"\"Cystic vein\"@en","http://dbpedia.org/resource/Cystic_vein","http://www.wikidata.org/entity/Q3322746"
"\"Deep cerebral veins\"@en","http://dbpedia.org/resource/Deep_cerebral_veins","http://www.wikidata.org/entity/Q5250375"
"\"Deep cervical vein\"@en","http://dbpedia.org/resource/Deep_cervical_vein","http://www.wikidata.org/entity/Q4115298"
"\"Deep circumflex iliac vein\"@en","http://dbpedia.org/resource/Deep_circumflex_iliac_vein","http://www.wikidata.org/entity/Q4116864"
"\"Deep dorsal vein of clitoris\"@en","http://dbpedia.org/resource/Deep_dorsal_vein_of_clitoris","http://www.wikidata.org/entity/Q4115295"
"\"Deep facial vein\"@en","http://dbpedia.org/resource/Deep_facial_vein","http://www.wikidata.org/entity/Q5250383"
"\"Deep lingual vein\"@en","http://dbpedia.org/resource/Deep_lingual_vein","http://www.wikidata.org/entity/Q5250408"
"\"Deep middle cerebral vein\"@en","http://dbpedia.org/resource/Deep_middle_cerebral_vein","http://www.wikidata.org/entity/Q5250417"
"\"Deep vein\"@en","http://dbpedia.org/resource/Deep_vein","http://www.wikidata.org/entity/Q430892"
"\"Diploic veins\"@en","http://dbpedia.org/resource/Diploic_veins","http://www.wikidata.org/entity/Q4175733"
"\"Dorsal digital veins of the foot\"@en","http://dbpedia.org/resource/Dorsal_digital_veins_of_the_foot","http://www.wikidata.org/entity/Q5298783"
"\"Dorsal lingual veins\"@en","http://dbpedia.org/resource/Dorsal_lingual_veins","http://www.wikidata.org/entity/Q5298787"
"\"Dorsal metacarpal veins\"@en","http://dbpedia.org/resource/Dorsal_metacarpal_veins","http://www.wikidata.org/entity/Q3324363"
"\"Dorsal metatarsal veins\"@en","http://dbpedia.org/resource/Dorsal_metatarsal_veins","http://www.wikidata.org/entity/Q5298793"
"\"Dorsal scapular vein\"@en","http://dbpedia.org/resource/Dorsal_scapular_vein","http://www.wikidata.org/entity/Q5298807"
"\"Dorsal veins of the penis\"@en","http://dbpedia.org/resource/Dorsal_veins_of_the_penis","http://www.wikidata.org/entity/Q2759368"
"\"Emissary veins\"@en","http://dbpedia.org/resource/Emissary_veins","http://www.wikidata.org/entity/Q5372627"
"\"Esophageal veins\"@en","http://dbpedia.org/resource/Esophageal_veins","http://www.wikidata.org/entity/Q4115376"
"\"Ethmoidal veins\"@en","http://dbpedia.org/resource/Ethmoidal_veins","http://www.wikidata.org/entity/Q5404139"
"\"External iliac vein\"@en","http://dbpedia.org/resource/External_iliac_vein","http://www.wikidata.org/entity/Q3090687"
"\"Facial vein\"@en","http://dbpedia.org/resource/Facial_vein","http://www.wikidata.org/entity/Q3555260"
"\"Femoral vein\"@en","http://dbpedia.org/resource/Femoral_vein","http://www.wikidata.org/entity/Q368521"
"\"Fibular veins\"@en","http://dbpedia.org/resource/Fibular_veins","http://www.wikidata.org/entity/Q3448955"
"\"Frontal vein\"@en","http://dbpedia.org/resource/Frontal_vein","http://www.wikidata.org/entity/Q5505915"
"\"Giacomini vein\"@en","http://dbpedia.org/resource/Giacomini_vein","http://www.wikidata.org/entity/Q6160164"
"\"Gonadal vein\"@en","http://dbpedia.org/resource/Gonadal_vein","http://www.wikidata.org/entity/Q4117089"
"\"Great cardiac vein\"@en","http://dbpedia.org/resource/Great_cardiac_vein","http://www.wikidata.org/entity/Q2886255"
"\"Great cerebral vein\"@en","http://dbpedia.org/resource/Great_cerebral_vein","http://www.wikidata.org/entity/Q585980"
"\"Great saphenous vein\"@en","http://dbpedia.org/resource/Great_saphenous_vein","http://www.wikidata.org/entity/Q543323"
"\"Hemiazygos vein\"@en","http://dbpedia.org/resource/Hemiazygos_vein","http://www.wikidata.org/entity/Q2214048"
"\"Hepatic portal vein\"@en","http://dbpedia.org/resource/Hepatic_portal_vein","http://www.wikidata.org/entity/Q464543"
"\"Ileal veins\"@en","http://dbpedia.org/resource/Ileal_veins","http://www.wikidata.org/entity/Q4116713"
"\"Ileocolic vein\"@en","http://dbpedia.org/resource/Ileocolic_vein","http://www.wikidata.org/entity/Q4115339"
"\"Iliolumbar vein\"@en","http://dbpedia.org/resource/Iliolumbar_vein","http://www.wikidata.org/entity/Q5998326"
"\"Inferior cerebellar veins\"@en","http://dbpedia.org/resource/Inferior_cerebellar_veins","http://www.wikidata.org/entity/Q6029302"
"\"Inferior cerebral veins\"@en","http://dbpedia.org/resource/Inferior_cerebral_veins","http://www.wikidata.org/entity/Q4391932"
"\"Inferior epigastric vein\"@en","http://dbpedia.org/resource/Inferior_epigastric_vein","http://www.wikidata.org/entity/Q6029315"
"\"Inferior gluteal veins\"@en","http://dbpedia.org/resource/Inferior_gluteal_veins","http://www.wikidata.org/entity/Q6029342"
"\"Inferior labial vein\"@en","http://dbpedia.org/resource/Inferior_labial_vein","http://www.wikidata.org/entity/Q6029346"
"\"Inferior laryngeal vein\"@en","http://dbpedia.org/resource/Inferior_laryngeal_vein","http://www.wikidata.org/entity/Q6029344"
"\"Inferior mesenteric vein\"@en","http://dbpedia.org/resource/Inferior_mesenteric_vein","http://www.wikidata.org/entity/Q3176575"
"\"Inferior ophthalmic vein\"@en","http://dbpedia.org/resource/Inferior_ophthalmic_vein","http://www.wikidata.org/entity/Q6029380"
"\"Inferior phrenic vein\"@en","http://dbpedia.org/resource/Inferior_phrenic_vein","http://www.wikidata.org/entity/Q605523"
"\"Inferior rectal veins\"@en","http://dbpedia.org/resource/Inferior_rectal_veins","http://www.wikidata.org/entity/Q4115553"
"\"Inferior thyroid veins\"@en","http://dbpedia.org/resource/Inferior_thyroid_veins","http://www.wikidata.org/entity/Q11312041"
"\"Inferior vena cava\"@en","http://dbpedia.org/resource/Inferior_vena_cava","http://www.wikidata.org/entity/Q745438"
"\"Intercapitular veins of the hand\"@en","http://dbpedia.org/resource/Intercapitular_veins_of_the_hand","http://www.wikidata.org/entity/Q3321279"
"\"Intercostal veins\"@en","http://dbpedia.org/resource/Intercostal_veins","http://www.wikidata.org/entity/Q3443355"
"\"Interlobar veins\"@en","http://dbpedia.org/resource/Interlobar_veins","http://www.wikidata.org/entity/Q2784691"
"\"Interlobular veins\"@en","http://dbpedia.org/resource/Interlobular_veins","http://www.wikidata.org/entity/Q5253372"
"\"Internal auditory veins\"@en","http://dbpedia.org/resource/Internal_auditory_veins","http://www.wikidata.org/entity/Q5573344"
"\"Internal cerebral veins\"@en","http://dbpedia.org/resource/Internal_cerebral_veins","http://www.wikidata.org/entity/Q6047801"
"\"Internal iliac vein\"@en","http://dbpedia.org/resource/Internal_iliac_vein","http://www.wikidata.org/entity/Q1165743"
"\"Internal pudendal veins\"@en","http://dbpedia.org/resource/Internal_pudendal_veins","http://www.wikidata.org/entity/Q4116893"
"\"Internal thoracic vein\"@en","http://dbpedia.org/resource/Internal_thoracic_vein","http://www.wikidata.org/entity/Q3509884"
"\"Intervertebral veins\"@en","http://dbpedia.org/resource/Intervertebral_veins","http://www.wikidata.org/entity/Q11705017"
"\"Jejunal veins\"@en","http://dbpedia.org/resource/Jejunal_veins","http://www.wikidata.org/entity/Q4116715"
"\"Lateral marginal vein\"@en","http://dbpedia.org/resource/Lateral_marginal_vein","http://www.wikidata.org/entity/Q16976792"
"\"Lateral sacral veins\"@en","http://dbpedia.org/resource/Lateral_sacral_veins","http://www.wikidata.org/entity/Q6495699"
"\"Lateral thoracic vein\"@en","http://dbpedia.org/resource/Lateral_thoracic_vein","http://www.wikidata.org/entity/Q1311339"
"\"Left colic vein\"@en","http://dbpedia.org/resource/Left_colic_vein","http://www.wikidata.org/entity/Q4115340"
"\"Left gastric vein\"@en","http://dbpedia.org/resource/Left_gastric_vein","http://www.wikidata.org/entity/Q730403"
"\"Left gastroepiploic vein\"@en","http://dbpedia.org/resource/Left_gastroepiploic_vein","http://www.wikidata.org/entity/Q6381103"
"\"Left marginal vein\"@en","http://dbpedia.org/resource/Left_marginal_vein","http://www.wikidata.org/entity/Q6516978"
"\"Lingual veins\"@en","http://dbpedia.org/resource/Lingual_veins","http://www.wikidata.org/entity/Q5306281"
"\"Lumbar veins\"@en","http://dbpedia.org/resource/Lumbar_veins","http://www.wikidata.org/entity/Q4117097"
"\"Maxillary veins\"@en","http://dbpedia.org/resource/Maxillary_veins","http://www.wikidata.org/entity/Q3241280"
"\"Medial marginal vein\"@en","http://dbpedia.org/resource/Medial_marginal_vein","http://www.wikidata.org/entity/Q6806063"
"\"Median antebrachial vein\"@en","http://dbpedia.org/resource/Median_antebrachial_vein","http://www.wikidata.org/entity/Q3324292"
"\"Median cubital vein\"@en","http://dbpedia.org/resource/Median_cubital_vein","http://www.wikidata.org/entity/Q3320949"
"\"Median sacral vein\"@en","http://dbpedia.org/resource/Median_sacral_vein","http://www.wikidata.org/entity/Q4116983"
"\"Middle cardiac vein\"@en","http://dbpedia.org/resource/Middle_cardiac_vein","http://www.wikidata.org/entity/Q6841662"
"\"Middle colic vein\"@en","http://dbpedia.org/resource/Middle_colic_vein","http://www.wikidata.org/entity/Q4115373"
"\"Middle rectal veins\"@en","http://dbpedia.org/resource/Middle_rectal_veins","http://www.wikidata.org/entity/Q4117071"
"\"Middle thyroid vein\"@en","http://dbpedia.org/resource/Middle_thyroid_vein","http://www.wikidata.org/entity/Q6841702"
"\"Nasofrontal vein\"@en","http://dbpedia.org/resource/Nasofrontal_vein","http://www.wikidata.org/entity/Q6967224"
"\"Oblique vein of the left atrium\"@en","http://dbpedia.org/resource/Oblique_vein_of_the_left_atrium","http://www.wikidata.org/entity/Q7075181"
"\"Obturator veins\"@en","http://dbpedia.org/resource/Obturator_veins","http://www.wikidata.org/entity/Q7075573"
"\"Occipital emissary vein\"@en","http://dbpedia.org/resource/Occipital_emissary_vein","http://www.wikidata.org/entity/Q7075696"
"\"Occipital vein\"@en","http://dbpedia.org/resource/Occipital_vein","http://www.wikidata.org/entity/Q7075707"
"\"Ophthalmic veins\"@en","http://dbpedia.org/resource/Ophthalmic_veins","http://www.wikidata.org/entity/Q7098088"
"\"Ovarian vein\"@en","http://dbpedia.org/resource/Ovarian_vein","http://www.wikidata.org/entity/Q3555262"
"\"Palmar digital veins\"@en","http://dbpedia.org/resource/Palmar_digital_veins","http://www.wikidata.org/entity/Q3324276"
"\"Palmar metacarpal veins\"@en","http://dbpedia.org/resource/Palmar_metacarpal_veins","http://www.wikidata.org/entity/Q629643"
"\"Pancreaticoduodenal veins\"@en","http://dbpedia.org/resource/Pancreaticoduodenal_veins","http://www.wikidata.org/entity/Q7130422"
"\"Pancreatic veins\"@en","http://dbpedia.org/resource/Pancreatic_veins","http://www.wikidata.org/entity/Q4116851"
"\"Paraumbilical vein\"@en","http://dbpedia.org/resource/Paraumbilical_vein","http://www.wikidata.org/entity/Q4116714"
"\"Pericardiacophrenic veins\"@en","http://dbpedia.org/resource/Pericardiacophrenic_veins","http://www.wikidata.org/entity/Q966089"
"\"Pharyngeal veins\"@en","http://dbpedia.org/resource/Pharyngeal_veins","http://www.wikidata.org/entity/Q7180894"
"\"Plantar digital veins\"@en","http://dbpedia.org/resource/Plantar_digital_veins","http://www.wikidata.org/entity/Q29405"
"\"Plantar metatarsal veins\"@en","http://dbpedia.org/resource/Plantar_metatarsal_veins","http://www.wikidata.org/entity/Q7201590"
"\"Popliteal vein\"@en","http://dbpedia.org/resource/Popliteal_vein","http://www.wikidata.org/entity/Q2746562"
"\"Posterior auricular vein\"@en","http://dbpedia.org/resource/Posterior_auricular_vein","http://www.wikidata.org/entity/Q588981"
"\"Posterior external jugular vein\"@en","http://dbpedia.org/resource/Posterior_external_jugular_vein","http://www.wikidata.org/entity/Q7234192"
"\"Posterior intercostal veins\"@en","http://dbpedia.org/resource/Posterior_intercostal_veins","http://www.wikidata.org/entity/Q7234203"
"\"Posterior labial veins\"@en","http://dbpedia.org/resource/Posterior_labial_veins","http://www.wikidata.org/entity/Q4116899"
"\"Posterior scrotal veins\"@en","http://dbpedia.org/resource/Posterior_scrotal_veins","http://www.wikidata.org/entity/Q4116896"
"\"Posterior spinal veins\"@en","http://dbpedia.org/resource/Posterior_spinal_veins","http://www.wikidata.org/entity/Q7234239"
"\"Posterior tibial vein\"@en","http://dbpedia.org/resource/Posterior_tibial_vein","http://www.wikidata.org/entity/Q3448931"
"\"Posterior vein of the left ventricle\"@en","http://dbpedia.org/resource/Posterior_vein_of_the_left_ventricle","http://www.wikidata.org/entity/Q7234258"
"\"Pulmonary vein\"@en","http://dbpedia.org/resource/Pulmonary_vein","http://www.wikidata.org/entity/Q535352"
"\"Radial veins\"@en","http://dbpedia.org/resource/Radial_veins","http://www.wikidata.org/entity/Q3316775"
"\"Renal vein\"@en","http://dbpedia.org/resource/Renal_vein","http://www.wikidata.org/entity/Q132318"
"\"Retromandibular vein\"@en","http://dbpedia.org/resource/Retromandibular_vein","http://www.wikidata.org/entity/Q6125961"
"\"Right colic vein\"@en","http://dbpedia.org/resource/Right_colic_vein","http://www.wikidata.org/entity/Q4115294"
"\"Right gastric vein\"@en","http://dbpedia.org/resource/Right_gastric_vein","http://www.wikidata.org/entity/Q4115303"
"\"Right gastroepiploic vein\"@en","http://dbpedia.org/resource/Right_gastroepiploic_vein","http://www.wikidata.org/entity/Q4115374"
"\"Right marginal vein\"@en","http://dbpedia.org/resource/Right_marginal_vein","http://www.wikidata.org/entity/Q7333621"
"\"Short gastric veins\"@en","http://dbpedia.org/resource/Short_gastric_veins","http://www.wikidata.org/entity/Q4116843"
"\"Small cardiac vein\"@en","http://dbpedia.org/resource/Small_cardiac_vein","http://www.wikidata.org/entity/Q7543026"
"\"Smallest cardiac veins\"@en","http://dbpedia.org/resource/Smallest_cardiac_veins","http://www.wikidata.org/entity/Q7543650"
"\"Small saphenous vein\"@en","http://dbpedia.org/resource/Small_saphenous_vein","http://www.wikidata.org/entity/Q2736974"
"\"Spinal veins\"@en","http://dbpedia.org/resource/Spinal_veins","http://www.wikidata.org/entity/Q7577475"
"\"Splenic vein\"@en","http://dbpedia.org/resource/Splenic_vein","http://www.wikidata.org/entity/Q3091615"
"\"Stellate veins\"@en","http://dbpedia.org/resource/Stellate_veins","http://www.wikidata.org/entity/Q5251486"
"\"Subclavian vein\"@en","http://dbpedia.org/resource/Subclavian_vein","http://www.wikidata.org/entity/Q493430"
"\"Subcostal vein\"@en","http://dbpedia.org/resource/Subcostal_vein","http://www.wikidata.org/entity/Q6545268"
"\"Sublingual vein\"@en","http://dbpedia.org/resource/Sublingual_vein","http://www.wikidata.org/entity/Q7631535"
"\"Superficial cerebral veins\"@en","http://dbpedia.org/resource/Superficial_cerebral_veins","http://www.wikidata.org/entity/Q7643304"
"\"Superficial dorsal veins of clitoris\"@en","http://dbpedia.org/resource/Superficial_dorsal_veins_of_clitoris","http://www.wikidata.org/entity/Q949634"
"\"Superficial epigastric vein\"@en","http://dbpedia.org/resource/Superficial_epigastric_vein","http://www.wikidata.org/entity/Q7643313"
"\"Superficial middle cerebral vein\"@en","http://dbpedia.org/resource/Superficial_middle_cerebral_vein","http://www.wikidata.org/entity/Q7643320"
"\"Superficial temporal vein\"@en","http://dbpedia.org/resource/Superficial_temporal_vein","http://www.wikidata.org/entity/Q5947899"
"\"Superficial vein\"@en","http://dbpedia.org/resource/Superficial_vein","http://www.wikidata.org/entity/Q2006950"
"\"Superior cerebellar veins\"@en","http://dbpedia.org/resource/Superior_cerebellar_veins","http://www.wikidata.org/entity/Q5796755"
"\"Superior cerebral veins\"@en","http://dbpedia.org/resource/Superior_cerebral_veins","http://www.wikidata.org/entity/Q5934112"
"\"Superior epigastric vein\"@en","http://dbpedia.org/resource/Superior_epigastric_vein","http://www.wikidata.org/entity/Q7643609"
"\"Superior gluteal veins\"@en","http://dbpedia.org/resource/Superior_gluteal_veins","http://www.wikidata.org/entity/Q432126"
"\"Superior intercostal vein\"@en","http://dbpedia.org/resource/Superior_intercostal_vein","http://www.wikidata.org/entity/Q7643629"
"\"Superior labial vein\"@en","http://dbpedia.org/resource/Superior_labial_vein","http://www.wikidata.org/entity/Q7643634"
"\"Superior laryngeal vein\"@en","http://dbpedia.org/resource/Superior_laryngeal_vein","http://www.wikidata.org/entity/Q7643635"
"\"Superior ophthalmic vein\"@en","http://dbpedia.org/resource/Superior_ophthalmic_vein","http://www.wikidata.org/entity/Q4117816"
"\"Superior phrenic vein\"@en","http://dbpedia.org/resource/Superior_phrenic_vein","http://www.wikidata.org/entity/Q7643666"
"\"Superior rectal vein\"@en","http://dbpedia.org/resource/Superior_rectal_vein","http://www.wikidata.org/entity/Q7643673"
"\"Superior thalamostriate vein\"@en","http://dbpedia.org/resource/Superior_thalamostriate_vein","http://www.wikidata.org/entity/Q7643678"
"\"Superior thyroid vein\"@en","http://dbpedia.org/resource/Superior_thyroid_vein","http://www.wikidata.org/entity/Q7643681"
"\"Superior vena cava\"@en","http://dbpedia.org/resource/Superior_vena_cava","http://www.wikidata.org/entity/Q736995"
"\"Supraorbital vein\"@en","http://dbpedia.org/resource/Supraorbital_vein","http://www.wikidata.org/entity/Q7644733"
"\"Suprarenal veins\"@en","http://dbpedia.org/resource/Suprarenal_veins","http://www.wikidata.org/entity/Q7644746"
"\"Suprascapular vein\"@en","http://dbpedia.org/resource/Suprascapular_vein","http://www.wikidata.org/entity/Q7644751"
"\"Supreme intercostal vein\"@en","http://dbpedia.org/resource/Supreme_intercostal_vein","http://www.wikidata.org/entity/Q7645117"
"\"Thoracoepigastric vein\"@en","http://dbpedia.org/resource/Thoracoepigastric_vein","http://www.wikidata.org/entity/Q959491"
"\"Thymic veins\"@en","http://dbpedia.org/resource/Thymic_veins","http://www.wikidata.org/entity/Q7799621"
"\"Trabecular veins\"@en","http://dbpedia.org/resource/Trabecular_veins","http://www.wikidata.org/entity/Q7831078"
"\"Transverse cervical veins\"@en","http://dbpedia.org/resource/Transverse_cervical_veins","http://www.wikidata.org/entity/Q5971384"
"\"Ulnar veins\"@en","http://dbpedia.org/resource/Ulnar_veins","http://www.wikidata.org/entity/Q2310633"
"\"Umbilical vein\"@en","http://dbpedia.org/resource/Umbilical_vein","http://www.wikidata.org/entity/Q1232438"
"\"Vein of bulb of penis\"@en","http://dbpedia.org/resource/Vein_of_bulb_of_penis","http://www.wikidata.org/entity/Q4115335"
"\"Vertebral vein\"@en","http://dbpedia.org/resource/Vertebral_vein","http://www.wikidata.org/entity/Q5306004"
"\"Vesical veins\"@en","http://dbpedia.org/resource/Vesical_veins","http://www.wikidata.org/entity/Q4117091"
"\"Vorticose veins\"@en","http://dbpedia.org/resource/Vorticose_veins","http://www.wikidata.org/entity/Q7941948"
